title,brand,category,subcategory,price,volume,alc,country,url
Manitoulin Brewing Cup & Saucer,Manitoulin Brewing,Ale,Pale Ale,3.25,473,5.0,Canada,https://www.lcbo.com/en/manitoulin-brewing-cup-saucer-546044
Midtown Brewing County Kolsch,Midtown Brewing,Ale,Lagered Ale,3.5,473,4.5,Canada,https://www.lcbo.com/en/midtown-brewing-county-kolsch-16425
Bayside Brewing Long Pond Lager,Bayside Brewing,Lager,Pale Lager,3.25,473,5.0,Canada,https://www.lcbo.com/en/bayside-brewing-long-pond-lager-450619
St-Ambroise IPA Mix Pack,St-Ambroise,Gifts and Samplers,Taster Packs,11.95,1892,7.0,Canada,https://www.lcbo.com/en/st-ambroise-ipa-mix-pack-25020
Hofbrau Dunkel,Hofbrau,Lager,Dark Lager,3.45,500,5.5,Germany,https://www.lcbo.com/en/hofbrau-dunkel-415950
MacKinnon Brewing Red Fox Ale,MacKinnon Brewing,Ale,Pale Ale,3.35,473,4.2,Canada,https://www.lcbo.com/en/mackinnon-brewing-red-fox-ale-538447
Lake of the Woods Lakeside Kolsch,Lake Of The Woods,Ale,Lagered Ale,3.45,473,5.0,Canada,https://www.lcbo.com/en/lake-of-the-woods-lakeside-kolsch-569913
Stack Brewing La Cloche Belgian Blonde,Stack Brewing,Ale,Belgian Ale,3.3,473,NULL,Canada,https://www.lcbo.com/en/stack-brewing-la-cloche-belgian-blonde-449421
Chill Street Afternoon Delight Cider,Chill Street,Cider,Traditional Cider,4.1,473,6.9,Canada,https://www.lcbo.com/en/chill-street-afternoon-delight-cider-19965
Cowbell Brewing Co. Bobcat,Cowbell Brewing,Ale,Dark Ale,3.35,473,5.5,Canada,https://www.lcbo.com/en/cowbell-brewing-co-doc-perdue-s-bobcat-493247
Four Fathers The Local Light Lager,Four Fathers Brewing,Lager,Pale Lager,2.95,473,4.0,Canada,https://www.lcbo.com/en/four-fathers-the-local-light-lager-20061
Michelob Ultra,Michelob,Lager,Pale Lager,3.1,473,4.0,Canada,https://www.lcbo.com/en/michelob-ultra-284562
Moosehead Lager,Moosehead,Lager,Pale Lager,45.5,8184,5.0,Canada,https://www.lcbo.com/en/moosehead-lager-911412
Molson Canadian,Molson,Lager,Pale Lager,31.5,5325,5.0,Canada,https://www.lcbo.com/en/molson-canadian-247338
Iron Maiden Trooper Ale,Iron Maiden,Ale,Pale Ale,3.05,500,4.7,United Kingdom,https://www.lcbo.com/en/iron-maiden-trooper-ale-522615
Hoegaarden,Hoegaarden,Ale,Wheat Ale,15.95,1980,5.0,Belgium,https://www.lcbo.com/en/hoegaarden-554089
Bud Light,Bud Light,Lager,Pale Lager,31.5,5325,4.0,Canada,https://www.lcbo.com/en/bud-light-616920
Thornbury Craft X Tragically Hip Road Apples Cider,Thornbury,Cider,Traditional Cider,3.85,473,5.2,Canada,https://www.lcbo.com/en/thornbury-craft-x-tragically-hip-road-apples-cider-21262
Forked River Capital Blonde Ale,Forked River Brewing,Ale,Pale Ale,3.25,473,4.7,Canada,https://www.lcbo.com/en/forked-river-capital-blonde-ale-530303
The Hamilton Brewery Blue Collar Pale Ale,The Hamilton Brewery,Ale,Pale Ale,3.25,473,5.5,Canada,https://www.lcbo.com/en/the-hamilton-brewery-blue-collar-pale-ale-440354
